[1085.00–1085.98] Target_Speaker:  I appreciate people.
[1087.12–1087.30] Uncertain:  Oh yeah.
[1087.74–1092.42] Uncertain:  Well I can tell everybody else that comes in here, my behavior is kind of a reflection
[1092.42–1092.98] Uncertain:  of theirs.
[1093.28–1094.26] Target_Speaker:  I couldn't agree more.
[1094.58–1095.50] Uncertain:  I couldn't agree more.
[1097.36–1097.66] Uncertain:  Yeah.
[1097.98–1099.40] Target_Speaker:  Couldn't agree a syllable more.
[1102.30–1103.12] Uncertain:  Well that's a good one.
[1103.58–1103.72] Uncertain:  Huh?
[1104.50–1105.98] Uncertain:  You're fun to get on my...
[1105.98–1107.20] Uncertain:  No that's not the problem.
[1107.76–1108.28] Uncertain:  They pee.
[1108.52–1109.40] Uncertain:  It just got stuck.
[1111.98–1113.60] Uncertain:  How do I mess with your cuffs?
[1113.64–1114.68] Uncertain:  Or mess them up or anything?
[1121.68–1124.00] Target_Speaker:  I'm taking too much time, I haven't got much space.
[1124.18–1126.68] Uncertain:  Well we're not trying to tie something, we're trying to get the key out of it.
[1127.80–1128.16] Uncertain:  Okay.
[1130.46–1134.10] Uncertain:  I might need to get a new key, there might be something off with this one because I just
[1134.10–1138.92] Uncertain:  had an issue with that fella I got in put this arm on the wall in front of you when
[1138.92–1139.82] Uncertain:  that could have come off.
[1140.48–1146.88] Uncertain:  That guy I just searched in that had the shackles, it had a little bit of difficulty opening up one of the shackles on his hop.
[1147.00–1148.40] Uncertain:  That guy got to get a new key then.
[1149.60–1149.92] Uncertain:  Alright.
